airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-03-01,Delhi,Cochin,00:20:00,15:30:00,910,1,No Info,23170
Air Asia,2019-03-24,Banglore,New Delhi,05:50:00,08:40:00,170,0,No Info,3383
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,12:35:00,1595,1,In-flight meal not included,12898
Indigo,2019-03-06,Chennai,Kolkata,13:20:00,15:35:00,135,0,No Info,7295
Jet Airways,2019-05-09,Banglore,Delhi,18:55:00,22:00:00,185,0,In-flight meal not included,3702
Air India,2019-05-06,Kolkata,Banglore,09:10:00,13:15:00,245,1,No Info,8996
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,13377
Indigo,2019-05-06,Kolkata,Banglore,09:35:00,12:20:00,165,0,No Info,4804
Multiple Carriers,2019-03-27,Delhi,Cochin,09:55:00,21:00:00,665,1,No Info,12537
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,10:45:00,1655,1,No Info,9187
Multiple Carriers,2019-05-09,Delhi,Cochin,08:45:00,19:15:00,630,1,No Info,8266
Indigo,2019-03-06,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,7673
Air India,2019-05-21,Kolkata,Banglore,07:00:00,20:25:00,805,1,No Info,11096
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,18:15:00,705,1,In-flight meal not included,10844
Air India,2019-05-21,Kolkata,Banglore,10:00:00,23:15:00,795,1,No Info,11936
Indigo,2019-03-27,Delhi,Cochin,14:20:00,22:20:00,480,1,No Info,6938
Indigo,2019-04-01,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,4174
Multiple Carriers,2019-06-09,Delhi,Cochin,09:15:00,19:00:00,585,1,No Info,11622
Spicejet,2019-05-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No Info,2017
Indigo,2019-05-27,Delhi,Cochin,18:35:00,01:30:00,415,1,No Info,6628
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,14:25:00,1730,1,No Info,14151
Air Asia,2019-03-24,Kolkata,Banglore,07:35:00,19:25:00,710,1,No Info,6785
Goair,2019-03-03,Banglore,New Delhi,20:55:00,23:50:00,175,0,No Info,7222
Air India,2019-05-24,Kolkata,Banglore,20:30:00,20:25:00,1435,1,No Info,10413
Jet Airways,2019-06-15,Delhi,Cochin,09:00:00,12:35:00,1655,1,In-flight meal not included,10262
Spicejet,2019-06-01,Kolkata,Banglore,14:55:00,17:25:00,150,0,No check-in baggage included,3841
Air India,2019-03-06,Delhi,Cochin,19:45:00,19:15:00,1410,2,No Info,12646
Air India,2019-05-27,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,No Info,3625
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,19:00:00,1210,1,In-flight meal not included,10262
Jet Airways,2019-05-21,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,12898
Vistara,2019-06-06,Kolkata,Banglore,07:10:00,20:20:00,790,1,No Info,8610
Air India,2019-04-12,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,5911
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2,In-flight meal not included,11507
Jet Airways,2019-06-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,3210
Goair,2019-03-27,Delhi,Cochin,06:00:00,13:20:00,440,1,No Info,4563
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,19:00:00,600,1,In-flight meal not included,10675
Air India,2019-05-21,Delhi,Cochin,10:55:00,19:15:00,500,2,No Info,13276
Indigo,2019-06-15,Delhi,Cochin,11:55:00,22:30:00,635,1,No Info,6442
Indigo,2019-06-24,Banglore,Delhi,08:30:00,11:20:00,170,0,No Info,4823
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,19:00:00,1295,2,No Info,13292
Indigo,2019-06-03,Banglore,Delhi,08:30:00,11:20:00,170,0,No Info,4823
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,19:50:00,1640,1,In-flight meal not included,10844
Spicejet,2019-03-18,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,3384
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,10:05:00,775,1,In-flight meal not included,8586
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,19:10:00,575,1,No Info,11467
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,19:00:00,660,1,No Info,10407
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,11:25:00,340,1,In-flight meal not included,9134
Jet Airways,2019-06-12,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,5769
Indigo,2019-05-27,Banglore,Delhi,20:00:00,22:50:00,170,0,No Info,4823
Spicejet,2019-04-27,Banglore,Delhi,21:10:00,00:05:00,175,0,No Info,3971
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,04:25:00,1760,2,In-flight meal not included,11150
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,14323
Multiple Carriers,2019-03-21,Delhi,Cochin,18:15:00,01:35:00,440,1,No Info,13542
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,07:40:00,615,1,No Info,11717
Multiple Carriers,2019-03-06,Delhi,Cochin,07:00:00,21:00:00,840,1,No Info,15603
Vistara,2019-05-21,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,4878
Indigo,2019-03-21,Kolkata,Banglore,17:15:00,19:55:00,160,0,No Info,4148
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,23:35:00,910,1,No Info,13941
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1,No Info,13044
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,13377
Air Asia,2019-04-27,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,4483
Spicejet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,2385
Jet Airways,2019-05-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,5678
Multiple Carriers,2019-05-15,Delhi,Cochin,11:35:00,01:30:00,835,3,No Info,16294
Spicejet,2019-04-09,Delhi,Cochin,06:05:00,11:20:00,315,1,No Info,5351
Jet Airways,2019-03-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Goair,2019-05-18,Delhi,Cochin,07:25:00,13:35:00,370,1,No Info,6296
Indigo,2019-03-06,Delhi,Cochin,02:05:00,07:25:00,320,1,No Info,10851
Air India,2019-05-27,Delhi,Cochin,18:05:00,21:10:00,185,0,No Info,6094
Air India,2019-05-18,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,11228
Spicejet,2019-05-24,Chennai,Kolkata,09:45:00,12:00:00,135,0,No check-in baggage included,3543
Spicejet,2019-05-15,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,3597
Air Asia,2019-06-12,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,3807
Vistara,2019-04-27,Banglore,Delhi,21:00:00,23:50:00,170,0,No Info,5403
Jet Airways,2019-06-15,Delhi,Cochin,13:00:00,19:00:00,360,1,In-flight meal not included,10262
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,11:25:00,750,1,No Info,13817
Indigo,2019-06-12,Delhi,Cochin,14:25:00,17:40:00,195,0,No Info,5601
Jet Airways,2019-05-27,Delhi,Cochin,22:50:00,19:00:00,1210,1,In-flight meal not included,12898
Jet Airways,2019-06-09,Delhi,Cochin,08:00:00,19:00:00,660,1,In-flight meal not included,10262
Multiple Carriers,2019-05-21,Delhi,Cochin,06:00:00,12:35:00,395,1,No Info,9794
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,04:40:00,1330,1,In-flight meal not included,8586
Goair,2019-06-12,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3419
Air India,2019-04-01,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,4441
Indigo,2019-05-06,Mumbai,Hyderabad,02:35:00,04:05:00,90,0,No Info,3342
Jet Airways,2019-06-15,Delhi,Cochin,18:25:00,12:35:00,1090,2,No Info,14237
Indigo,2019-03-01,Kolkata,Banglore,09:35:00,12:20:00,165,0,No Info,6565
Jet Airways,2019-04-15,Banglore,Delhi,07:10:00,10:10:00,180,0,No Info,7229
Jet Airways,2019-06-03,Delhi,Cochin,11:30:00,19:00:00,450,1,In-flight meal not included,10262
Air India,2019-05-24,Kolkata,Banglore,10:00:00,05:25:00,1165,2,No Info,15107
Jet Airways,2019-06-18,Banglore,Delhi,08:20:00,11:20:00,180,0,No Info,8016
Indigo,2019-04-06,Kolkata,Banglore,19:20:00,23:45:00,265,1,No Info,3480
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,1045,2,In-flight meal not included,11150
Jet Airways,2019-06-27,Delhi,Cochin,11:45:00,12:35:00,1490,2,No Info,13882
Air Asia,2019-03-24,Kolkata,Banglore,19:35:00,22:05:00,150,0,No Info,5964
Indigo,2019-03-21,Mumbai,Hyderabad,21:20:00,22:45:00,85,0,No Info,2227
Jet Airways,2019-05-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Air Asia,2019-05-21,Kolkata,Banglore,09:45:00,12:15:00,150,0,No Info,4409
Multiple Carriers,2019-05-18,Delhi,Cochin,06:40:00,19:15:00,755,1,No Info,7564
Air India,2019-05-18,Delhi,Cochin,21:00:00,07:40:00,640,1,No Info,8372
Indigo,2019-06-24,Mumbai,Hyderabad,12:00:00,13:30:00,90,0,No Info,2754
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,560,1,No Info,7005
Jet Airways,2019-05-09,Delhi,Cochin,17:30:00,12:35:00,1145,1,In-flight meal not included,12373
